language,layer,head,direction,correct,total,accuracy
english,11,5,leftward,2108,1679481,0.0012551496563521706
english,11,6,nsubj_to_root,182,1679481,0.0001083668109374265
english,11,6,leftward,92,1679481,5.477882750683098e-05
english,11,7,nsubj_to_root,84,1679481,5.001545120188915e-05
english,11,7,leftward,36,1679481,2.143519337223821e-05
english,11,8,nsubj_to_root,11947,1679481,0.007113507089392497
english,11,8,leftward,2137,1679481,0.0012724168954575848
english,11,9,nsubj_to_root,15565,1679481,0.009267744023302438
english,11,9,leftward,2397,1679481,0.001427226625368194
english,11,10,nsubj_to_root,324,1679481,0.00019291674035014388
english,11,10,leftward,1236,1679481,0.0007359416391135118
english,11,11,nsubj_to_root,911,1679481,0.0005424294767252503
english,11,11,leftward,75,1679481,4.46566528588296e-05
